2025-08-24T05:57:08.538Z [AUDIT] Token created by 'anonymous': tokenId='3738b641-bf93-440a-8745-2e00fe08236a', issuer='jfrou@01k3dadrcbtvwy2ktf3s9ehtjd', subject='jfrou@01k3dadrcbtvwy2ktf3s9ehtjd', expiry=none, refreshable=false
2025-08-24T05:57:15.315Z [AUDIT] Token created by 'jfcfg@01k3dadp7e688m028tztv9160g': tokenId='c061c592-5980-46e7-ad97-c84c4c91fef4', issuer='jfcfg@01k3dadp7e688m028tztv9160g', subject='jfcfg@01k3dadp7e688m028tztv9160g', expiry=1756016835315, refreshable=false
2025-08-24T05:57:15.339Z [AUDIT] Token created by 'anonymous': tokenId='2cf976bd-2417-42b0-ad69-63b553823f17', issuer='jfac@01k3dadp7e688m028tztv9160g', subject='jfac@01k3dadp7e688m028tztv9160g', expiry=1756022235339, refreshable=false
2025-08-24T05:57:16.479Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='ad2efb5e-1f8e-4cd8-98a0-0cfc10f13904', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=2702095036478, refreshable=false
2025-08-24T05:57:16.553Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='06a52774-2533-4db7-81cc-2d576701b65a', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756022236553, refreshable=false
2025-08-24T05:57:16.886Z [AUDIT] Token created by 'anonymous': tokenId='afc7f541-5a0c-4d54-abfd-30b4235a6a2d', issuer='jfob@01k3dadv4an03k1v3xy8fe0ccm', subject='jfob@01k3dadv4an03k1v3xy8fe0ccm', expiry=none, refreshable=false
2025-08-24T05:57:17.087Z [AUDIT] Token created by 'jfrt@01k3dadv4an03k1v3xy8fe0ccm': tokenId='aa91e629-b24f-41da-beed-17af77ef91b1', issuer='jfrt@01k3dadv4an03k1v3xy8fe0ccm/users/_system_', subject='jfrt@01k3dadv4an03k1v3xy8fe0ccm', expiry=none, refreshable=false
2025-08-24T05:57:32.973Z [AUDIT] Token created by 'anonymous': tokenId='c6195a1e-1ef4-4368-b65c-7aafa4ad650b', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g', expiry=none, refreshable=false
2025-08-24T05:57:50.868Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='7ee4a746-b5c9-40b7-ba09-74a83ba8551e', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/jffe@01k3dadp7e688m028tztv9160g', expiry=1756015670868, refreshable=false
2025-08-24T05:58:04.121Z [AUDIT] Token created by 'anonymous': tokenId='8fdfc0eb-76d7-4a45-8d7f-cbead4aac429', issuer='jfac@01k3dadp7e688m028tztv9160g', subject='jfac@01k3dadp7e688m028tztv9160g', expiry=1756015204120, refreshable=false
2025-08-24T05:58:04.122Z [AUDIT] Token created by 'anonymous': tokenId='bac9f421-b04f-492a-8f29-81ed73146b71', issuer='jfac@01k3dadp7e688m028tztv9160g', subject='jfac@01k3dadp7e688m028tztv9160g', expiry=1756015104122, refreshable=false
2025-08-24T05:58:04.124Z [AUDIT] Token created by 'anonymous': tokenId='a9e843cb-aa21-4eea-8af7-c1dfd4c72784', issuer='jfac@01k3dadp7e688m028tztv9160g', subject='jfac@01k3dadp7e688m028tztv9160g', expiry=1756015204124, refreshable=false
2025-08-24T05:58:16.921Z [AUDIT] Token created by 'jfob@01k3dadv4an03k1v3xy8fe0ccm': tokenId='635cdb5c-c6ea-4e45-85c9-6c87d0f6be6b', issuer='jfob@01k3dadv4an03k1v3xy8fe0ccm', subject='jfob@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756015216921, refreshable=false
2025-08-24T05:58:16.921Z [AUDIT] Token created by 'jfob@01k3dadv4an03k1v3xy8fe0ccm': tokenId='6ac1fe2b-4058-4f59-9045-f94ad075bba1', issuer='jfob@01k3dadv4an03k1v3xy8fe0ccm', subject='jfob@01k3dadv4an03k1v3xy8fe0ccm', expiry=1756015216921, refreshable=false
2025-08-24T06:01:19.874Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='04e844c4-6ac7-4532-9701-2b1f2f6507c9', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015879868, refreshable=false
2025-08-24T06:01:19.874Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='9434c2ef-869d-441c-b7ac-3cc30a0aff43', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015879868, refreshable=false
2025-08-24T06:01:19.876Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='b495e2f4-467e-448a-9a19-9b6dbd6d5e7a', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015879868, refreshable=false
2025-08-24T06:01:19.957Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='5f277e88-8d91-42d8-88c2-c62384f9742c', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='anonymous', expiry=1756015879956, refreshable=false
2025-08-24T06:01:19.981Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='930c9af9-f8d2-4153-b9a6-b3ea95b07289', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015879980, refreshable=false
2025-08-24T06:01:20.005Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='83125853-e986-4da9-bc0e-f64bf793ab97', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='anonymous', expiry=1756015880003, refreshable=false
2025-08-24T06:01:20.032Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='e842ee60-6e41-4031-9eb7-0696de4dfaa9', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880031, refreshable=false
2025-08-24T06:01:20.035Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='1d2313e1-15c4-42ec-95c9-db2a1eb4ded4', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880033, refreshable=false
2025-08-24T06:01:20.057Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='6e0d16c2-07c2-499d-9d6a-7af160bd7a17', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880056, refreshable=false
2025-08-24T06:01:20.057Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='a714bc97-b3f2-4d54-9053-a357e15c11cb', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880056, refreshable=false
2025-08-24T06:01:20.078Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='9651e049-49fb-4ee8-ae21-fd92b9c81e2a', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880077, refreshable=false
2025-08-24T06:01:20.084Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='533063b8-7b6e-42cd-9886-09bf9157c90b', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880083, refreshable=false
2025-08-24T06:01:20.086Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='41e29b05-5d50-4e9e-b42e-8b37ead56a20', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880086, refreshable=false
2025-08-24T06:01:20.107Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='c9a00145-7ca6-4a8a-9ed7-5cdf4e56198a', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880106, refreshable=false
2025-08-24T06:01:20.107Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='d769614c-9a8e-44b0-88ca-4868fe723545', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880107, refreshable=false
2025-08-24T06:01:20.107Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='21ecd557-beaa-4caa-ac72-db0784296d93', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756015880107, refreshable=false
2025-08-24T06:01:20.987Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='5eefbb92-a325-4a46-84ab-2fa9e1e2a3eb', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g', expiry=none, refreshable=false
2025-08-24T06:01:32.858Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='769a52a9-ee28-477f-bdec-bbd739f849a0', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017092856, refreshable=true
2025-08-24T06:01:32.901Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='83164ec8-bb42-4d46-8005-6bc476499103', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756015892901, refreshable=false
2025-08-24T06:01:35.601Z [AUDIT] Token created by 'jfcon@01k3dadp7e688m028tztv9160g': tokenId='4e24a80e-5dbb-4ff8-aaf0-09f382dc4d39', issuer='jfcon@01k3dadp7e688m028tztv9160g', subject='jfcon@01k3dadp7e688m028tztv9160g', expiry=1756018895599, refreshable=true
2025-08-24T06:01:50.290Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='755f4a0a-d676-41cf-8014-7ec40fc97ae1', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017110286, refreshable=true
2025-08-24T06:01:50.349Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='7c0e8674-2840-4d35-9021-59e361351604', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756015910348, refreshable=false
2025-08-24T06:01:54.503Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='5eae985b-98d5-47e3-83e8-f987a5591fc0', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756015914503, refreshable=false
2025-08-24T06:02:13.352Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='3ce0535e-6241-44ce-ac31-08f60bbe9a85', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756015933351, refreshable=false
2025-08-24T06:18:37.201Z [AUDIT] Token created by 'jfcon@01k3dadp7e688m028tztv9160g': tokenId='9a98430a-ad40-4416-8a89-f5b026d8c369', issuer='jfcon@01k3dadp7e688m028tztv9160g', subject='jfcon@01k3dadp7e688m028tztv9160g', expiry=1756019917198, refreshable=true
2025-08-24T06:20:46.123Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='755f4a0a-d676-41cf-8014-7ec40fc97ae1', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017110286, refreshable=true
2025-08-24T06:20:46.123Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='755f4a0a-d676-41cf-8014-7ec40fc97ae1', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017110286, refreshable=true
2025-08-24T06:20:46.123Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='755f4a0a-d676-41cf-8014-7ec40fc97ae1', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017110286, refreshable=true
2025-08-24T06:20:46.123Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='755f4a0a-d676-41cf-8014-7ec40fc97ae1', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017110286, refreshable=true
2025-08-24T06:23:31.710Z [AUDIT] Token created by 'jfcfg@01k3dadp7e688m028tztv9160g': tokenId='5b54e351-99a5-4547-ae61-ef658ef4a447', issuer='jfcfg@01k3dadp7e688m028tztv9160g', subject='jfcfg@01k3dadp7e688m028tztv9160g', expiry=1756018411709, refreshable=false
2025-08-24T06:23:36.903Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='a9d0e6e5-d500-4575-8505-27000bf6f3d3', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/jffe@01k3dadp7e688m028tztv9160g', expiry=1756017216903, refreshable=false
2025-08-24T06:24:57.348Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='5fdbca39-97c1-4601-b65a-10edda3806be', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756018497346, refreshable=true
2025-08-24T06:24:57.374Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='11b17e5e-2324-40d6-9da5-3c12b3cb83b9', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017297374, refreshable=false
2025-08-24T06:24:57.499Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='a4293a16-ffa3-4ce1-99da-9d092cbade8a', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017297499, refreshable=false
2025-08-24T06:24:58.056Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='ce1f3c22-d752-4f63-a131-31fa7d03f3b4', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017298056, refreshable=false
2025-08-24T06:34:58.160Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='c35758da-6f39-4be6-9afe-4f9d85778a6e', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756017898159, refreshable=false
2025-08-24T06:36:39.985Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='6016ec3e-c7bc-4675-b067-d699b48caa50', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/jffe@01k3dadp7e688m028tztv9160g', expiry=1756017999983, refreshable=false
2025-08-24T06:36:40.163Z [AUDIT] Token refreshed by 'jffe@01k3dadp7e688m028tztv9160g': oldTokenId='5fdbca39-97c1-4601-b65a-10edda3806be', tokenId='ebff02cd-64d5-4c15-b7d2-675ce0dbcdf4', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756019200161, refreshable=true
2025-08-24T06:37:10.191Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='5fdbca39-97c1-4601-b65a-10edda3806be', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756018497346, refreshable=true
2025-08-24T06:37:29.639Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='ec6b716f-9ce7-48b6-b1bf-072d76c3cdb7', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018049638, refreshable=false
2025-08-24T06:37:30.036Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='e3574e2c-db8e-4286-af29-d52a43b5e09c', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756018050035, refreshable=false
2025-08-24T06:37:30.036Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='bd0774b7-2700-4f8e-8f79-6dd07ba6bc93', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756018050035, refreshable=false
2025-08-24T06:41:25.017Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='59d93cb8-20da-4907-9b29-6b03310b4774', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285015, refreshable=false
2025-08-24T06:41:25.017Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='dae7cbaa-e727-4ef8-b107-ceb111bbbe77', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285017, refreshable=false
2025-08-24T06:41:25.024Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='9ae52566-696a-4945-bad9-5eb94af5a2d5', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756018285024, refreshable=false
2025-08-24T06:41:25.026Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='d91b6186-c66f-4e62-8068-377c0cdd42dc', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='anonymous', expiry=1756018285025, refreshable=false
2025-08-24T06:41:25.026Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='832d0037-7c08-4ffc-9920-aeb20aa4a04e', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285026, refreshable=false
2025-08-24T06:41:25.037Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='26c5a482-abe8-4433-8cef-ed8f4aa7d54e', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='anonymous', expiry=1756018285036, refreshable=false
2025-08-24T06:41:25.061Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='ec3b595c-f95e-4df2-b563-179ca9fddba0', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285060, refreshable=false
2025-08-24T06:41:25.062Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='122a2151-ea5b-4cf6-8ae1-e942daf8737b', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285061, refreshable=false
2025-08-24T06:41:25.063Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='e54a7d4f-ac92-4b40-a2db-7d1c897a1e2a', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285062, refreshable=false
2025-08-24T06:41:25.086Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='29f1be71-8b2c-4174-bd37-80996d614903', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285085, refreshable=false
2025-08-24T06:41:25.095Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='7ed76e47-fb81-40d6-a070-9a2a8e51be19', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285095, refreshable=false
2025-08-24T06:41:25.095Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='5f01d59c-ce89-4919-b34e-59b583644cc1', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285095, refreshable=false
2025-08-24T06:41:25.103Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='bea46185-5ad7-46fc-9d4f-433e17e98c97', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285102, refreshable=false
2025-08-24T06:41:25.112Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='b0554bb1-97c5-4ad9-a824-440327c0755c', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/anonymous', expiry=1756018285112, refreshable=false
2025-08-24T06:43:45.575Z [AUDIT] Token refreshed by 'jffe@01k3dadp7e688m028tztv9160g': oldTokenId='ebff02cd-64d5-4c15-b7d2-675ce0dbcdf4', tokenId='96309a1c-0c72-4d03-9997-7bc2a06c632f', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756019625573, refreshable=true
2025-08-24T06:44:15.594Z [AUDIT] Token revoked by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='ebff02cd-64d5-4c15-b7d2-675ce0dbcdf4', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756019200161, refreshable=true
2025-08-24T06:45:10.984Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='0e19f4f8-f3c4-4e74-8794-edad40e689cc', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756018510984, refreshable=false
2025-08-24T06:48:31.071Z [AUDIT] Token created by 'jfcfg@01k3dadp7e688m028tztv9160g': tokenId='7734dc08-dc0e-4153-98f5-d352c0d1759a', issuer='jfcfg@01k3dadp7e688m028tztv9160g', subject='jfcfg@01k3dadp7e688m028tztv9160g', expiry=1756019911066, refreshable=false
2025-08-24T06:48:36.961Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='365e2916-ea27-44ae-a0a8-71957491e547', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/jffe@01k3dadp7e688m028tztv9160g', expiry=1756018716959, refreshable=false
2025-08-24T06:53:17.034Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='fb5986a1-1a61-443f-af46-42962ca9ec44', issuer='jfac@01k3dadp7e688m028tztv9160g', subject='jfac@01k3dadp7e688m028tztv9160g', expiry=1756021997033, refreshable=false
2025-08-24T06:55:33.063Z [AUDIT] Token created by 'jffe@01k3dadp7e688m028tztv9160g': tokenId='b8498852-f268-441e-a568-80e63a520322', issuer='jffe@01k3dadp7e688m028tztv9160g', subject='jffe@01k3dadp7e688m028tztv9160g/users/admin', expiry=1756019133063, refreshable=false
2025-08-24T06:57:10.539Z [AUDIT] Token created by 'jfrou@01k3dadrcbtvwy2ktf3s9ehtjd': tokenId='0dc4e12a-3d8f-4776-87f1-889d92a338d9', issuer='jfrou@01k3dadrcbtvwy2ktf3s9ehtjd', subject='jfrou@01k3dadrcbtvwy2ktf3s9ehtjd', expiry=1756025830539, refreshable=false
2025-08-24T06:58:20.547Z [AUDIT] Token created by 'anonymous': tokenId='77f9a223-ceff-4fc0-aa59-69ca8981c9cc', issuer='jfac@01k3dadp7e688m028tztv9160g', subject='jfac@01k3dadp7e688m028tztv9160g', expiry=1756018820546, refreshable=false
